timestamp	text
00-00	Slide 7 SQL - Data Definition CSF2600700 - BASIS DATA SEMESTER GENAP 2018/2019
00-46	These slides are a modification to the supplementary slide of “Database System”, 7th edition, Elmasri/Navathe, 2015: Chapter 6 SQL: Basic SQL Additional materials from: http://www.postgresql.org/docs/current/static/index.html
01-03	Outline SQL Data Definition and Data Types Specifying Constraints in SQL Modification Data (INSERT, DELETE, and UPDATE Statements)
01-33	Basic SQL SQL language Structured Query Language Considered one of the major reasons for the commercial success of relational databases Standardized – many new feature over time Interactive via GUI or prompt, or embedded in programs Declarative, based on relational algebra
02-35	SQL DDL and DML DDL : Data Definition Language Defining the Relational Schema – Relations, Attributes, Domain, The Meta-Data Create table Drop table Alter table etc. DML : Data Manipulation Language Defining the Queries Against the Schema Select, Insert, Update, Delete More commands Indexes, Constraints, Views, Triggers, Transactions
03-07	Domains in SQL Domain It is possible to specify data type directly Makes it easier to change the data type for a domain that is used by numerous attributes Improves schema readibility Ex: SSN_TYPE in place of CHAR(9), for attribute Ssn, Super_ssn, Mgr_ssn, etc. CREATE DOMAIN SSN_TYPE AS CHAR(9);
04-44	Schema and Catalog Concept in SQL SQL Schema Group together tables and other constructs that belong to the same database Identified by a schema name Includes an authorization identifier and descriptors for each element Schema elements Tables, constraints, views, domains, and other constructs Each statement in SQL ends with a semicolon (;)
06-45	Create/Drop a Schema Creating a Schema Enters new schema into the current database CREATE SCHEMA COMPANY AUTHORIZATION Jsmith; Create a schema which can be authorized by user Jsmith Tables can now be created and added to schema Dropping a Schema Remove a schema DROP SCHEMA COMPANY RESTRICT; Drop operation fails if schema is not empty DROP SCHEMA COMPANY CASCADE; Drop operation removes everything in the schema
08-11	Data Types in SQL Each DBMS may have their own DBMS specific data types Is this good or bad? Basic data types Numeric data types Integer numbers: INTEGER, INT, and SMALLINT Arbitrary Precision Numbers: NUMERIC Floating-point (real) numbers: FLOAT or REAL, and DOUBLE PRECISION Character-string data types Fixed length: CHAR(n), CHARACTER(n) Variable-length with limit: VARCHAR(n), CHAR VARYING(n), CHARACTER VARYING(n) Variable unlimited length: TEXT
11-12	Data Types in SQL Bit-string data types Fixed length: BIT(n) Varying length: BIT VARYING(n) Boolean data type Values of TRUE or FALSE or NULL DATE data type Ten positions Components are YEAR, MONTH, and DAY in the form YYYY-MM-DD
11-43	Data Types in SQL Additional data types Timestamp data type (TIMESTAMP) Includes the DATE and TIME fields Plus a minimum of six positions for decimal fractions of seconds Optional WITH TIME ZONE qualifier Ex: ‘2008-09-27 9:12:47.648302’ INTERVAL data type Specifies a relative value that can be used to increment or decrement an absolute value of a date, time, or timestamp
12-49	RELATION IN SQL Base relations Relation and its tuples are actually created and stored as a file by the DBMS Virtual relations Created through the CREATE VIEW statement (Chapter 5) May or may not correspond to an actual physical file
