timestamp	text
00-08	Application Layer (4/7) Domain Name System CSCM603154 - Jaringan Komputer Fakultas Ilmu Komputer UI All material taken from “Computer Networking: A Top-Down Approach” copyright 1996-2020, J.F Kurose and K.W. Ross, All Rights Reserved
00-38	Application Layer: Overview P2P applications Principles of network applications video streaming and content distribution networks Web and HTTP socket programming with UDP and TCP The Domain Name System DNS
00-47	DNS: Domain Name System people: many identifiers: SSN, name, passport #
01-08	DNS: Domain Name System people: many identifiers: SSN, name, passport # Internet hosts, routers: IP address (32 bit) - used for addressing datagrams “name”, e.g., cs.umass.edu - used by humans
01-27	DNS: Domain Name System people: many identifiers: SSN, name, passport # Internet hosts, routers: IP address (32 bit) - used for addressing datagrams “name”, e.g., cs.umass.edu - used by humans Q: how to map between IP address and name, and vice versa ?
02-00	DNS: Domain Name System people: many identifiers: SSN, name, passport # Internet hosts, routers: IP address (32 bit) - used for addressing datagrams “name”, e.g., cs.umass.edu - used by humans Q: how to map between IP address and name, and vice versa ? Domain Name System (DNS): distributed database implemented in hierarchy of many name servers
02-02	DNS: Domain Name System people: many identifiers: SSN, name, passport # Internet hosts, routers: IP address (32 bit) - used for addressing datagrams “name”, e.g., cs.umass.edu - used by humans Q: how to map between IP address and name, and vice versa ? Domain Name System (DNS): distributed database implemented in hierarchy of many name servers application-layer protocol: hosts, DNS servers communicate to resolve names (address/name translation) note: core Internet function, implemented as application-layer protocol complexity at network’s “edge”
03-00	DNS: services, structure DNS services: hostname-to-IP-address translation
03-17	DNS: services, structure DNS services: hostname-to-IP-address translation host aliasing canonical, alias names
03-25	DNS: services, structure DNS services: hostname-to-IP-address translation host aliasing canonical, alias names mail server aliasing
03-33	DNS: services, structure DNS services: hostname-to-IP-address translation host aliasing canonical, alias names mail server aliasing load distribution replicated Web servers: many IP addresses correspond to one name
04-19	DNS: services, structure DNS services: hostname-to-IP-address translation host aliasing canonical, alias names mail server aliasing load distribution replicated Web servers: many IP addresses correspond to one name Q: Why not centralize DNS? single point of failure traffic volume distant centralized database maintenance
04-45	DNS: services, structure DNS services: hostname-to-IP-address translation host aliasing canonical, alias names mail server aliasing load distribution replicated Web servers: many IP addresses correspond to one name Q: Why not centralize DNS? single point of failure traffic volume distant centralized database maintenance A: doesn‘t scale! Comcast DNS servers alone: 600B DNS queries/day Akamai DNS servers alone: 2.2T DNS queries/day
04-49	Thinking about the DNS
04-53	Thinking about the DNS humongous distributed database: ~ billion records, each simple
05-15	Thinking about the DNS humongous distributed database: ~ billion records, each simple handles many trillions of queries/day: many more reads than writes performance matters: almost every Internet transaction interacts with DNS - msecs count!
05-49	Thinking about the DNS humongous distributed database: ~ billion records, each simple handles many trillions of queries/day: many more reads than writes performance matters: almost every Internet transaction interacts with DNS - msecs count! organizationally, physically decentralized: millions of different organizations responsible for their records
06-02	Thinking about the DNS humongous distributed database: ~ billion records, each simple handles many trillions of queries/day: many more reads than writes performance matters: almost every Internet transaction interacts with DNS - msecs count! organizationally, physically decentralized: millions of different organizations responsible for their records “bulletproof”: reliability, security
